Title,Area,Sizes,Direction,Floors,Bedrooms,Price,Location,Timestamp of the post,Thumbnail,Post Link
Kho Xưởng Tân Thuận - Giải Pháp Kinh Doanh Hiệu Quả Tại TP.HCM,Diện tích: 50.000 m2,KT: ---,Hướng: No Information,3 lầu,No Information,Giá: 1 ngàn / m2  / tháng,"Đường Tân Thuận, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",01/08/2023,https://alonhadat.com.vn/files/properties/2023/8/1/thumbnails/012322846-5044-kho-xuong-tan-thuan-giai-phap-kinh-doanh-hieu-qua-tai-tp-hcm.jpg,https://alonhadat.com.vn/kcx-tan-thuan-cho-thue-nha-xuong-tieu-chuan-f-g-h-tai-quan-7-tp-hcm-12322846.html
"CHO THUÊ VĂN PHÒNG TẠI 25 HÀN THUYÊN, HÀ NỘI",Diện tích: 1.540 m2,KT: ---,Hướng: No Information,No Information,No Information,"Giá: 341,415 triệu / tháng","Phố Hàn Thuyên, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/4/17/thumbnails/20230417_115110_12748663_0.jpg,https://alonhadat.com.vn/cho-thue-van-phong-tai-25-han-thuyen-ha-noi-12748663.html
"CHO THUÊ KHÁCH SẠN 3 SAO, 11 TẦNG 50 PHÒNG, MT ĐƯỜNG HÀ BỔNG",Diện tích: 100 m2,KT: 10x20m,Hướng: No Information,11 lầu,50 phòng ngủ,Giá: 135 triệu / tháng,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/12/thumbnails/013266029-3718-cho-thue-khach-san-3-sao-11-tang-50-phong-mt-duong-ha-bong.jpg,https://alonhadat.com.vn/cho-thue-khach-san-3-sao-11-tang-50-phong-mt-duong-ha-bong-13266029.html
"Cho thuê nhà Hai Bà Trưng vị trí đẹp, hiện trạng đẹp dt 170m, mt7m. Giá 50tr/tháng",Diện tích: 170 m2,KT: 7x24m,Hướng: No Information,3 lầu,3 phòng ngủ,Giá: 50 triệu / tháng,"Đường Cát Dài, Phường Cát Dài, Quận Lê Chân, Hải Phòng",12/08/2023,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/cho-thue-nha-hai-ba-trung-vi-tri-dep-hien-trang-dep-dt-170m-mt7m-gia-50tr-thang-13265954.html
CHO THUÊ NHÀ Đ. NGUYỄN TRI PHƯƠNG - DĨ AN. 6Triu,Diện tích: 93 m2,KT: 5x19m,Hướng: No Information,2 lầu,2 phòng ngủ,Giá: 6 triệu / tháng,"Đường Nguyễn Tri Phương, Phường Dĩ An, Thành phố Dĩ An, Bình Dương",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/3/thumbnails/013227165-1841-cho-thue-nha-trong-hem-thanh-pho-di-an-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-nha-d-nguyen-tri-phuong-di-an-13227165.html
MẶT TIỀN KINH DOANH SẦM UẤT HOÀNG HOA THÁM VŨNG TÀU - KT 6x20m GIÁ THUÊ 40 TRIỆU,Diện tích: 120 m2,KT: 6x20m,Hướng: No Information,2 lầu,3 phòng ngủ,Giá: 40 triệu / tháng,"Đường Hoàng Hoa Thám, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/12/thumbnails/013264353-3922-cho-thue-nha-mat-tien-thanh-pho-vung-tau.jpg,https://alonhadat.com.vn/mat-tien-kinh-doanh-sam-uat-hoang-hoa-tham-vung-tau-kt-6x20m-gia-thue-40-trieu-13264353.html
Nhà cho thuê nguyên căn Kiều Đàm -Quận 7-4 tầng -5m×19m-giá 24 Triệu/tháng.,Diện tích: 92 m2,KT: ---,Hướng: No Information,4 lầu,4 phòng ngủ,Giá: 24 triệu / tháng,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/8/thumbnails/013248324-2252-cho-thue-nha-trong-hem-ho-chi-minh-gia-re.jpg,https://alonhadat.com.vn/nha-cho-thue-nguyen-can-kieu-dam-quan-7-4-tang-5m-19m-gia-24-trieu-thang--13248324.html
Cho Thuê Nhà Mặt Tiền Đường Hoàng Sa -Quận 1-4 Tầng-Giá 50Triệu. -,Diện tích: 77 m2,"KT: 5,5x14m",Hướng: No Information,4 lầu,4 phòng ngủ,Giá: 50 triệu / tháng,"Đường Hoàng Sa, Phường Tân Định, Quận 1, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/8/thumbnails/013248285-0233-cho-thue-nha-mat-tien-duong-hoang-sa-quan-1-4-tang-gia-50trieu-.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-duong-hoang-sa-quan-1-4-tang-gia-50trieu--13248285.html
"Cho thuê 1.100m2 Kho, xưởng tại Lai Xá , Hoài Đức , Hà Nội",Diện tích: 1.100 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 90 ngàn / m2  / tháng,"Đường Quốc lộ 32, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/11/thumbnails/012050434-4620-cho-thue-kho-xuong-huyen-hoai-duc-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-420m2-kho-xuong-tai-linh-nam-hoang-mai-ha-noi--12050434.html
"cho thuê VP tại Cityland, Gò Vấp DT 30m2 - 100m2 máy lạnh hầm để xe, giá từ 5tr",Diện tích: 25 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 5 triệu / tháng,"Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2022/8/27/thumbnails/09185317-1652-cho-thue-vp-tai-cityland-go-vap-dt-30m2-100m2-may-lanh-ham-de-xe-gia-tu-6tr.jpg,https://alonhadat.com.vn/chinh-chu-cho-thue-vp-tai-cityland-go-vap-dt-20m2-100m2-may-lanh-ham-de-xe-gia-tu-4tr-9185317.html
